TimePeriod,BoroID,Annual mean ppb,Summer mean ppb,Winter mean ppb,Annual mean ppb_log,Summer mean ppb_log,Winter mean ppb_log,Borough_Brooklyn,Borough_Manhattan,Borough_Queens,Borough_Staten Island
2015-01-01,4,18.5,13.5,23.9,2.970414465569701,2.6741486494265287,3.214867803470662,0.0,0.0,1.0,0.0
2015-01-01,5,13.7,8.8,19.8,2.6878474937846906,2.2823823856765264,3.0349529867072724,0.0,0.0,0.0,1.0
2014-01-01,5,14.2,9.3,21.8,2.7212954278522306,2.33214389523559,3.126760535960395,0.0,0.0,0.0,1.0
2014-01-01,1,19.8,15.8,25.9,3.0349529867072724,2.8213788864092133,3.292126286607793,0.0,0.0,0.0,0.0
2014-01-01,2,19.9,14.5,27.8,3.039749158970765,2.740840023925201,3.3603753871419,1.0,0.0,0.0,0.0
2014-01-01,3,26.7,22.7,32.4,3.3214324131932926,3.1654750481410856,3.5085558999826545,0.0,1.0,0.0,0.0
2014-01-01,4,18.9,13.7,26.8,2.990719731730447,2.6878474937846906,3.3250360206965914,0.0,0.0,1.0,0.0
2013-01-01,3,28.0,24.7,31.6,3.367295829986474,3.246490991901174,3.484312288372662,0.0,1.0,0.0,0.0
2013-01-01,2,19.9,15.8,25.3,3.039749158970765,2.8213788864092133,3.269568939183719,1.0,0.0,0.0,0.0
2013-01-01,1,19.9,15.9,24.0,3.039749158970765,2.8273136219290276,3.2188758248682006,0.0,0.0,0.0,0.0
2013-01-01,4,18.7,15.6,22.8,2.9806186357439426,2.8094026953624978,3.169685580677429,0.0,0.0,1.0,0.0
2013-01-01,5,13.8,10.0,19.1,2.6946271807700692,2.3978952727983707,3.0007198150650303,0.0,0.0,0.0,1.0
2012-01-01,4,19.4,15.8,22.6,3.0155349008501706,2.8213788864092133,3.1612467120315646,0.0,0.0,1.0,0.0
2012-01-01,5,14.5,10.6,17.9,2.740840023925201,2.451005098112319,2.9391619220655967,0.0,0.0,0.0,1.0
2012-01-01,1,21.0,17.0,23.5,3.091042453358316,2.8903717578961645,3.1986731175506815,0.0,0.0,0.0,0.0
2012-01-01,2,20.6,16.3,23.5,3.0726933146901194,2.8507065015037334,3.1986731175506815,1.0,0.0,0.0,0.0
2012-01-01,3,28.7,25.8,30.2,3.391147045808654,3.288401887516811,3.4404180948154366,0.0,1.0,0.0,0.0
2011-01-01,3,31.0,27.7,35.4,3.4657359027997265,3.3568971227655755,3.594568774642695,0.0,1.0,0.0,0.0
2011-01-01,2,22.8,18.1,29.7,3.169685580677429,2.9496883350525844,3.4242626545931514,1.0,0.0,0.0,0.0
2011-01-01,4,21.5,17.0,28.3,3.1135153092103742,2.8903717578961645,3.3775875160230218,0.0,0.0,1.0,0.0
2011-01-01,1,22.7,18.3,28.2,3.1654750481410856,2.9601050959108397,3.374168709274236,0.0,0.0,0.0,0.0
2011-01-01,5,16.2,11.6,23.1,2.8449093838194073,2.533696813957432,3.1822118404966093,0.0,0.0,0.0,1.0
2010-01-01,1,22.2,19.4,24.4,3.1441522786722644,3.0155349008501706,3.2347491740244907,0.0,0.0,0.0,0.0
2010-01-01,5,15.4,12.0,19.1,2.797281334830153,2.5649493574615367,3.0007198150650303,0.0,0.0,0.0,1.0
2010-01-01,2,22.7,18.2,27.2,3.1654750481410856,2.954910279033736,3.339321977944068,1.0,0.0,0.0,0.0
2010-01-01,4,21.0,17.4,25.0,3.091042453358316,2.91235066461494,3.258096538021482,0.0,0.0,1.0,0.0
2010-01-01,3,30.6,28.5,32.2,3.4531571205928664,3.3843902633457743,3.502549875922443,0.0,1.0,0.0,0.0
2009-01-01,3,33.9,30.9,38.4,3.5524868292083815,3.462606009790799,3.673765816303888,0.0,1.0,0.0,0.0
2009-01-01,2,24.1,20.1,29.4,3.2228678461377385,3.0492730404820207,3.414442608412176,1.0,0.0,0.0,0.0
2009-01-01,1,24.5,20.8,29.3,3.2386784521643803,3.0819099697950434,3.4111477125153233,0.0,0.0,0.0,0.0
2009-01-01,4,22.2,18.1,27.9,3.1441522786722644,2.9496883350525844,3.3638415951183864,0.0,0.0,1.0,0.0
2009-01-01,5,16.8,13.2,21.6,2.8791984572980396,2.653241964607215,3.1179499062782403,0.0,0.0,0.0,1.0
